iter	Logloss
0	0.6428745961
1	0.6004891367
2	0.5650064313
3	0.5316261738
4	0.5040172463
5	0.4800236399
6	0.4584905516
7	0.4401957627
8	0.4240922545
9	0.4092302436
10	0.3961373923
11	0.3848704467
12	0.3754380312
13	0.3659715236
14	0.3588149036
15	0.3516867362
16	0.3456986616
17	0.3404309484
18	0.3357042812
19	0.3320073242
20	0.3270615516
21	0.3229930979
22	0.3189567072
23	0.3153461949
24	0.3122537225
25	0.3096202309
26	0.3072696885
27	0.3050225198
28	0.3028244166
29	0.3012650917
30	0.2992633031
31	0.2975054841
32	0.2960026951
33	0.2946829329
34	0.2932067929
35	0.2920497285
36	0.2905384895
37	0.2897007554
38	0.2889425665
39	0.2879216602
40	0.2868999162
41	0.2861571298
42	0.2854641165
43	0.2847385701
44	0.2842773807
45	0.2836586629
46	0.2830893713
47	0.282538554
48	0.2820401783
49	0.2812639391
50	0.2807657292
51	0.2796476083
52	0.2792553022
53	0.2788097665
54	0.2784465471
55	0.2779664645
56	0.2774517821
57	0.2767619775
58	0.2763874243
59	0.2760140575
60	0.2757305151
61	0.2753293266
62	0.275006868
63	0.2746876967
64	0.2743949796
65	0.2740943168
66	0.2736779071
67	0.2732708482
68	0.2730095171
69	0.2728181104
70	0.272563607
71	0.272172636
72	0.271774186
73	0.2713917162
74	0.2711292603
75	0.2708698745
76	0.2707027732
77	0.2704728964
78	0.2702396537
79	0.2698998046
80	0.2697674228
81	0.2696096893
82	0.2694740338
83	0.268980672
84	0.2687338304
85	0.2684638305
86	0.2683254911
87	0.2681458644
88	0.26798536
89	0.2677970389
90	0.2676748301
91	0.2675677604
92	0.2673316646
93	0.2671738201
94	0.2670438691
95	0.2668756326
96	0.2666999172
97	0.2665570648
98	0.2664042803
99	0.2663051119
100	0.2661837561
101	0.265809844
102	0.2655859008
103	0.2654720736
104	0.2653014114
105	0.2652197822
106	0.265083007
107	0.2649447394
108	0.2647902112
109	0.2647176217
110	0.2645770327
111	0.2644662774
112	0.2643745776
113	0.2642657831
114	0.2641470651
115	0.2640704361
116	0.2639726403
117	0.2638627022
118	0.2637927846
119	0.2637457381
120	0.263637894
121	0.2635510218
122	0.2634951852
123	0.2634166279
124	0.2631757917
125	0.2630861809
126	0.2629288373
127	0.2627966024
128	0.262730191
129	0.2626362364
130	0.2625351807
131	0.26244777
132	0.2623159711
133	0.2621243917
134	0.2620274011
135	0.2618816631
136	0.2618060889
137	0.2617229451
138	0.2615673707
139	0.2614866543
140	0.2614088629
141	0.2613159887
142	0.2613140844
143	0.2611820205
144	0.2611005314
145	0.2609888667
146	0.2609526959
147	0.2608311641
148	0.2607375582
149	0.2606514981
150	0.2605482901
151	0.2603761355
152	0.2603296344
153	0.2602644777
154	0.2602073469
155	0.2601235604
156	0.2600023106
157	0.2599426806
158	0.2598538767
159	0.2597540741
160	0.2596676036
161	0.2595357482
162	0.2592868279
163	0.2589590802
164	0.2588453188
165	0.258796438
166	0.2586799945
167	0.2586151079
168	0.2584949111
169	0.2583780906
170	0.2582372674
171	0.2581673181
172	0.2580614716
173	0.2579606945
174	0.2578564182
175	0.2577963959
176	0.2576431336
177	0.25758306
178	0.2574989213
179	0.2574094481
180	0.2573266881
181	0.2572789552
182	0.257203663
183	0.2571583704
184	0.2570958036
185	0.2570448945
186	0.2569856475
187	0.2569328118
188	0.2568298509
189	0.2567174896
190	0.2564223006
191	0.2563104213
192	0.256224809
